"","Av.zone","Num.datasets","Bid.ratio","mean_total_cost","mean_instance_cost","mean_storage_cost","mean_xfer_cost","mean_total_time","mean_run_time","mean_wait_time","mean_upl_time","mean_dl_time","mean_interrupts","Region"
"1","ap-northeast-1a",50,1,24.6340136986301,7.9112,0.448150684931507,16.1,885.584259259259,33,37.25,20.8592592592593,785.066666666667,0,"Asia Pacific"
"2","ap-northeast-1a",50,1.5,25.0228630136986,8.4633,0.448150684931507,16.1,849.217592592593,33,3.53333333333333,20.8592592592593,785.066666666667,0,"Asia Pacific"
"3","ap-northeast-1a",50,2,25.1134730136986,8.502,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"4","ap-northeast-1a",50,2.5,25.1716643835616,8.5335,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"5","ap-northeast-1a",50,3,25.1716643835616,8.5335,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"6","ap-northeast-1a",50,3.5,25.2455630136986,8.70674,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"7","ap-northeast-1a",50,4,25.2455630136986,8.70674,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"8","ap-northeast-1a",50,4.5,28.9796130136986,12.45575,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"9","ap-northeast-1a",50,5,28.9796130136986,12.45575,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"10","ap-northeast-1a",100,1,51.4602876712329,17.538,1.46293150684932,32.2,1717.94351851852,66,73.0916666666667,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"11","ap-northeast-1a",100,1.5,52.6222876712329,18.904,1.41928767123288,32.2,1664.53518518518,66,19.6833333333333,41.7185185185185,1570.13333333333,0,"Asia Pacific"
