,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,on_demand_price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,on_demand_instance_cost,static_run_time,on_demand_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
0,ap-northeast-1a,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.043,23940.0,Linux/UNIX,1940.0,0.000925,0.000118149543379,0.680043149543,388.0,0.679,0.489500219178,186.193,23940.0,187.362543369,26425.7777778,0,18,157.777777778
1,ap-northeast-1a,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.043,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,572.6,47880.0,575.429678215,52230.7555556,0,18,315.555555556
2,ap-northeast-1a,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.043,23940.0,Linux/UNIX,7760.0,0.0037,0.00189039269406,2.72159039269,1552.0,2.716,2.10785424658,818.04,71820.0,822.869444639,80521.5111111,0,18,631.111111111
3,ap-northeast-1a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.043,23940.0,Linux/UNIX,19400.0,0.00925,0.0118149543379,6.81106495434,3880.0,6.79,4.96156931507,1922.34,167580.0,1934.11263427,188712.977778,0,18,1577.77777778
4,ap-northeast-1a,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.043,23940.0,Linux/UNIX,38800.0,0.0185,0.0472598173516,13.6457598174,7760.0,13.58,9.22975561644,3558.34,311220.0,3581.21551543,353485.955556,0,18,3155.55555556
5,ap-northeast-1a,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.043,23940.0,Linux/UNIX,77600.0,0.037,0.189039269406,27.3860392694,15520.0,27.16,17.9147243836,6830.38,598500.0,6875.68076365,683031.911111,0,18,6311.11111111
6,ap-northeast-1a,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.043,23940.0,Linux/UNIX,194000.0,0.0925,1.18149543379,69.1739954338,38800.0,67.9,46.4321490411,17137.3,1508220.0,17252.9061445,1718308.17778,0,18,15777.7777778
7,ap-northeast-1a,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.043,23940.0,Linux/UNIX,388000.0,0.185,4.72598173516,140.710981735,77600.0,135.8,97.0959715068,34029.16,2992500.0,34266.9669532,3412676.35556,0,18,31555.5555556
8,ap-northeast-1c,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.043,23940.0,Linux/UNIX,1940.0,0.000925,0.000118149543379,0.680043149543,388.0,0.679,0.489500219178,186.193,23940.0,187.362543369,26425.7777778,0,18,157.777777778
9,ap-northeast-1c,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.043,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,572.6,47880.0,575.429678215,52230.7555556,0,18,315.555555556
10,ap-northeast-1c,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.043,23940.0,Linux/UNIX,7760.0,0.0037,0.00189039269406,2.72159039269,1552.0,2.716,2.10785424658,818.04,71820.0,822.869444639,80521.5111111,0,18,631.111111111
11,ap-northeast-1c,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.043,23940.0,Linux/UNIX,19400.0,0.00925,0.0118149543379,6.81106495434,3880.0,6.79,4.96156931507,1922.34,167580.0,1934.11263427,188712.977778,0,18,1577.77777778
