,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,time_ratio,cost_ratio,on_demand_price_hr,on_demand_instance_cost,on_demand_total_cost
0,ap-northeast-1a,1.0,50,28.2548761882,0.301095334686,1.63298045112,2195.16649087,44.8163376699,88548.9454676,29931.5567546,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.6595473488,1.70668183226,2.043,34.891,51.2408505708
1,ap-northeast-1a,1.5,50,28.2602133566,0.301014198783,1.6332945931,2195.09939148,44.821672837,88548.6278205,29931.3062069,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.659549714769,1.70647868427,2.043,34.891,51.2408505708
2,ap-northeast-1a,2.0,50,28.2633378353,0.300365111562,1.63347857688,2194.80032454,44.8247885123,88548.1595041,29931.1369574,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.659553203017,1.70636007058,2.043,34.891,51.2408505708
3,ap-northeast-1a,2.5,50,28.2738198312,0.300121703854,1.63409535578,2194.53817444,44.8352617049,88547.8240883,29931.0636917,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.65955570138,1.70596147722,2.043,34.891,51.2408505708
4,ap-northeast-1a,3.0,50,55.6080682937,0.0417038539554,3.26130362353,1997.54020284,71.9617584511,58941.6472121,521.884787018,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.990848152106,1.06288716307,2.043,34.891,51.2408505708
5,ap-northeast-1a,3.5,50,55.6080682937,0.0417038539554,3.26130362353,1997.54020284,71.9617584511,58941.6472121,521.884787018,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.990848152106,1.06288716307,2.043,34.891,51.2408505708
6,ap-northeast-1a,4.0,50,55.6080682937,0.0417038539554,3.26130362353,1997.54020284,71.9617584511,58941.6472121,521.884787018,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,0.990848152106,1.06288716307,2.043,34.891,51.2408505708
7,ap-northeast-1a,4.5,50,60.2985952552,0.0,3.53756442677,1980.0,76.648445826,58402.2222222,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,1.0,0.99789667573,2.043,34.891,51.2408505708
8,ap-northeast-1a,5.0,50,60.2985952552,0.0,3.53756442677,1980.0,76.648445826,58402.2222222,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,46000,0.000925,0.0664269406393,16.1673519406,9200,16.1,0.182498630137,60.1373787189,1980,76.4872292896,58402.2222222,0,18,1222.22222222,34.8927,0,2.0431,1980.0,51.2425505708,58402.2222222,0.0,1.0,0.99789667573,2.043,34.891,51.2408505708
9,ap-northeast-1a,1.0,100,62.8986316968,0.428467094052,3.11321609348,4231.27720523,96.0179543738,146822.235729,31997.7912846,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,79.426,0,3.9533,3960.0,112.347502968,114824.444444,0.0,0.782064405121,1.81494916293,2.043,82.0,114.864461872
10,ap-northeast-1a,1.5,100,62.9198182585,0.428142497768,3.11427623306,4231.20741703,96.0391293634,146820.714833,31996.2703887,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,79.466,0,3.9533,3960.0,112.416023516,114824.444444,0.0,0.782072506421,1.8145489976,2.043,82.0,114.864461872
11,ap-northeast-1a,2.0,100,62.9307261543,0.427249857989,3.11482162785,4230.78041061,96.0500372592,146820.483233,31996.0387893,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,79.506,0,3.9533,3960.0,112.484544064,114824.444444,0.0,0.782073740091,1.81434292885,2.043,82.0,114.864461872
12,ap-northeast-1a,2.5,100,62.9640005194,0.426681814493,3.1164853461,4230.19978901,96.0833116242,146820.339194,31995.8947497,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,79.506,0,3.9533,3960.0,112.484544064,114824.444444,0.0,0.782074507349,1.81371460841,2.043,82.0,114.864461872
13,ap-northeast-1a,3.0,100,130.307515086,0.0604560577781,6.50106495334,3987.83697152,163.176569139,115392.977107,568.532662501,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,82.004,0,4.0862,3960.0,114.868461872,114824.444444,0.0,0.995073073966,1.0679701555,2.043,82.0,114.864461872
14,ap-northeast-1a,3.5,100,130.307515086,0.0604560577781,6.50106495334,3987.83697152,163.176569139,115392.977107,568.532662501,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,82.004,0,4.0862,3960.0,114.868461872,114824.444444,0.0,0.995073073966,1.0679701555,2.043,82.0,114.864461872
15,ap-northeast-1a,4.0,100,130.307515086,0.0604560577781,6.50106495334,3987.83697152,163.176569139,115392.977107,568.532662501,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,82.004,0,4.0862,3960.0,114.868461872,114824.444444,0.0,0.995073073966,1.0679701555,2.043,82.0,114.864461872
16,ap-northeast-1a,4.5,100,141.796085077,0.0,7.07580425383,3960.0,174.660546949,114824.444444,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,82.004,0,4.0862,3960.0,114.868461872,114824.444444,0.0,1.0,0.997750831319,2.043,82.0,114.864461872
17,ap-northeast-1a,5.0,100,141.796085077,0.0,7.07580425383,3960.0,174.660546949,114824.444444,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,92000,0.00185,0.265707762557,32.4675577626,18400,32.2,0.396904109589,141.403244044,3960,174.267705917,114824.444444,0,18,2444.44444444,82.004,0,4.0862,3960.0,114.868461872,114824.444444,0.0,1.0,0.997750831319,2.043,82.0,114.864461872
18,ap-northeast-1a,1.0,200,94.4041537013,0.543019480519,4.67604063961,8271.3,160.820330068,260745.907233,33077.0183442,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873144630744,1.73081231682,2.043,123.1,189.244942009
19,ap-northeast-1a,1.5,200,94.4352743182,0.54237012987,4.67759845617,8271.23222403,160.851424413,260742.979149,33074.0902597,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873154435959,1.73047773181,2.043,123.1,189.244942009
20,ap-northeast-1a,2.0,200,94.4551058117,0.540503246753,4.67859003084,8270.28368506,160.871255906,260742.498142,33073.6092532,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873156046718,1.73026440621,2.043,123.1,189.244942009
21,ap-northeast-1a,2.5,200,94.5006709091,0.539448051948,4.68086828571,8269.1375,160.916812998,260742.247899,33073.3590097,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873156884715,1.72977455177,2.043,123.1,189.244942009
