,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
0,ap-northeast-1a,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.043,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,100.427,24624.0,103.392202465,33877.7777778,0,18,157.777777778
1,ap-northeast-1a,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.043,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,186.233,24624.0,192.089052461,43131.5555556,0,18,315.555555556
2,ap-northeast-1a,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.043,24624.0,Linux/UNIX,30320.0,0.0037,0.0288593789954,10.644559379,6064.0,10.612,1.60781917808,572.64,49248.0,584.892378557,81411.9111111,0,18,631.111111111
3,ap-northeast-1a,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.043,24624.0,Linux/UNIX,75800.0,0.00925,0.180371118721,26.7196211187,15160.0,26.53,3.19517589041,1145.2,98496.0,1175.11479701,176480.177778,0,18,1577.77777778
4,ap-northeast-1a,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.043,24624.0,Linux/UNIX,151600.0,0.0185,0.721484474886,53.7999844749,30320.0,53.06,5.5375890411,1963.28,172368.0,2022.61757352,328336.355556,0,18,3155.55555556
5,ap-northeast-1a,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.043,24624.0,Linux/UNIX,303200.0,0.037,2.88593789954,109.0429379,60640.0,106.12,10.3636076712,3640.22,320112.0,3759.62654557,632048.711111,0,18,6311.11111111
6,ap-northeast-1a,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.043,24624.0,Linux/UNIX,758000.0,0.0925,18.0371118721,283.429611872,151600.0,265.3,26.2447167123,8957.3,787968.0,9266.97432858,1562958.57778,0,18,15777.7777778
7,ap-northeast-1a,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.043,24624.0,Linux/UNIX,1516000.0,0.185,72.1484474886,602.933447489,303200.0,530.6,54.2273819178,17628.3,1551312.0,18285.4608294,3101293.15556,0,18,31555.5555556
8,ap-northeast-1c,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.043,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,100.427,24624.0,103.392202465,33877.7777778,0,18,157.777777778
9,ap-northeast-1c,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.043,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,186.233,24624.0,192.089052461,43131.5555556,0,18,315.555555556
10,ap-northeast-1c,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.043,24624.0,Linux/UNIX,30320.0,0.0037,0.0288593789954,10.644559379,6064.0,10.612,1.60781917808,572.64,49248.0,584.892378557,81411.9111111,0,18,631.111111111
11,ap-northeast-1c,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.043,24624.0,Linux/UNIX,75800.0,0.00925,0.180371118721,26.7196211187,15160.0,26.53,3.19517589041,1145.2,98496.0,1175.11479701,176480.177778,0,18,1577.77777778
12,ap-northeast-1c,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.043,24624.0,Linux/UNIX,151600.0,0.0185,0.721484474886,53.7999844749,30320.0,53.06,5.5375890411,1963.28,172368.0,2022.61757352,328336.355556,0,18,3155.55555556
13,ap-northeast-1c,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.043,24624.0,Linux/UNIX,303200.0,0.037,2.88593789954,109.0429379,60640.0,106.12,10.3636076712,3640.22,320112.0,3759.62654557,632048.711111,0,18,6311.11111111
14,ap-northeast-1c,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.043,24624.0,Linux/UNIX,758000.0,0.0925,18.0371118721,283.429611872,151600.0,265.3,26.2447167123,8957.3,787968.0,9266.97432858,1562958.57778,0,18,15777.7777778
15,ap-northeast-1c,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.043,24624.0,Linux/UNIX,1516000.0,0.185,72.1484474886,602.933447489,303200.0,530.6,54.2273819178,17628.3,1551312.0,18285.4608294,3101293.15556,0,18,31555.5555556
16,ap-southeast-1a,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.117,24624.0,Linux/UNIX,7580.0,0.001,0.00163973744292,2.27663973744,1516.0,2.274,0.309473753425,104.053,24624.0,106.639113491,33877.7777778,0,18,157.777777778
17,ap-southeast-1a,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.117,24624.0,Linux/UNIX,15160.0,0.002,0.00655894977169,4.55655894977,3032.0,4.548,0.540987616438,192.967,24624.0,198.064546566,43131.5555556,0,18,315.555555556
18,ap-southeast-1a,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.117,24624.0,Linux/UNIX,30320.0,0.004,0.0262357990868,9.12623579909,6064.0,9.096,1.60781917808,593.36,49248.0,604.094054977,81411.9111111,0,18,631.111111111
19,ap-southeast-1a,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.117,24624.0,Linux/UNIX,75800.0,0.01,0.163973744292,22.9139737443,15160.0,22.74,3.19517589041,1186.64,98496.0,1212.74914963,176480.177778,0,18,1577.77777778
20,ap-southeast-1a,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.117,24624.0,Linux/UNIX,151600.0,0.02,0.655894977169,46.1558949772,30320.0,45.48,5.5375890411,2034.32,172368.0,2086.01348402,328336.355556,0,18,3155.55555556
21,ap-southeast-1a,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.117,24624.0,Linux/UNIX,303200.0,0.04,2.62357990868,93.6235799087,60640.0,90.96,10.3636076712,3771.94,320112.0,3875.92718758,632048.711111,0,18,6311.11111111
22,ap-southeast-1a,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.117,24624.0,Linux/UNIX,758000.0,0.1,16.3973744292,243.897374429,151600.0,227.4,26.2447167123,9281.42,787968.0,9551.56209114,1562958.57778,0,18,15777.7777778
23,ap-southeast-1a,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.117,24624.0,Linux/UNIX,1516000.0,0.2,65.5894977169,520.589497717,303200.0,454.8,54.2273819178,18266.18,1551312.0,18840.9968796,3101293.15556,0,18,31555.5555556
24,ap-southeast-1b,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.117,24624.0,Linux/UNIX,7580.0,0.001,0.00163973744292,2.27663973744,1516.0,2.274,0.309473753425,104.053,24624.0,106.639113491,33877.7777778,0,18,157.777777778
25,ap-southeast-1b,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.117,24624.0,Linux/UNIX,15160.0,0.002,0.00655894977169,4.55655894977,3032.0,4.548,0.540987616438,192.967,24624.0,198.064546566,43131.5555556,0,18,315.555555556
26,ap-southeast-1b,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.117,24624.0,Linux/UNIX,30320.0,0.004,0.0262357990868,9.12623579909,6064.0,9.096,1.60781917808,593.36,49248.0,604.094054977,81411.9111111,0,18,631.111111111
27,ap-southeast-1b,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.117,24624.0,Linux/UNIX,75800.0,0.01,0.163973744292,22.9139737443,15160.0,22.74,3.19517589041,1186.64,98496.0,1212.74914963,176480.177778,0,18,1577.77777778
28,ap-southeast-1b,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.117,24624.0,Linux/UNIX,151600.0,0.02,0.655894977169,46.1558949772,30320.0,45.48,5.5375890411,2034.32,172368.0,2086.01348402,328336.355556,0,18,3155.55555556
29,ap-southeast-1b,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.117,24624.0,Linux/UNIX,303200.0,0.04,2.62357990868,93.6235799087,60640.0,90.96,10.3636076712,3771.94,320112.0,3875.92718758,632048.711111,0,18,6311.11111111
30,ap-southeast-1b,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.117,24624.0,Linux/UNIX,758000.0,0.1,16.3973744292,243.897374429,151600.0,227.4,26.2447167123,9281.42,787968.0,9551.56209114,1562958.57778,0,18,15777.7777778
31,ap-southeast-1b,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.117,24624.0,Linux/UNIX,1516000.0,0.2,65.5894977169,520.589497717,303200.0,454.8,54.2273819178,18266.18,1551312.0,18840.9968796,3101293.15556,0,18,31555.5555556
32,ap-southeast-2a,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.117,24624.0,Linux/UNIX,7580.0,0.0011,0.00180371118721,2.65590371119,1516.0,2.653,0.309473753425,104.053,24624.0,107.018377465,33877.7777778,0,18,157.777777778
33,ap-southeast-2a,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.117,24624.0,Linux/UNIX,15160.0,0.0022,0.00721484474886,5.31541484475,3032.0,5.306,0.540987616438,192.967,24624.0,198.823402461,43131.5555556,0,18,315.555555556
34,ap-southeast-2a,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.117,24624.0,Linux/UNIX,30320.0,0.0044,0.0288593789954,10.645259379,6064.0,10.612,1.60781917808,593.36,49248.0,605.613078557,81411.9111111,0,18,631.111111111
35,ap-southeast-2a,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.117,24624.0,Linux/UNIX,75800.0,0.011,0.180371118721,26.7213711187,15160.0,26.53,3.19517589041,1186.64,98496.0,1216.55654701,176480.177778,0,18,1577.77777778
36,ap-southeast-2a,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.117,24624.0,Linux/UNIX,151600.0,0.022,0.721484474886,53.8034844749,30320.0,53.06,5.5375890411,2034.32,172368.0,2093.66107352,328336.355556,0,18,3155.55555556
37,ap-southeast-2a,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.117,24624.0,Linux/UNIX,303200.0,0.044,2.88593789954,109.0499379,60640.0,106.12,10.3636076712,3771.94,320112.0,3891.35354557,632048.711111,0,18,6311.11111111
38,ap-southeast-2a,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.117,24624.0,Linux/UNIX,758000.0,0.11,18.0371118721,283.447111872,151600.0,265.3,26.2447167123,9281.42,787968.0,9591.11182858,1562958.57778,0,18,15777.7777778
39,ap-southeast-2a,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.117,24624.0,Linux/UNIX,1516000.0,0.22,72.1484474886,602.968447489,303200.0,530.6,54.2273819178,18266.18,1551312.0,18923.3758294,3101293.15556,0,18,31555.5555556
40,ap-southeast-2b,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.117,24624.0,Linux/UNIX,7580.0,0.0011,0.00180371118721,2.65590371119,1516.0,2.653,0.309473753425,104.053,24624.0,107.018377465,33877.7777778,0,18,157.777777778
41,ap-southeast-2b,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.117,24624.0,Linux/UNIX,15160.0,0.0022,0.00721484474886,5.31541484475,3032.0,5.306,0.540987616438,192.967,24624.0,198.823402461,43131.5555556,0,18,315.555555556
42,ap-southeast-2b,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.117,24624.0,Linux/UNIX,30320.0,0.0044,0.0288593789954,10.645259379,6064.0,10.612,1.60781917808,593.36,49248.0,605.613078557,81411.9111111,0,18,631.111111111
43,ap-southeast-2b,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.117,24624.0,Linux/UNIX,75800.0,0.011,0.180371118721,26.7213711187,15160.0,26.53,3.19517589041,1186.64,98496.0,1216.55654701,176480.177778,0,18,1577.77777778
44,ap-southeast-2b,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.117,24624.0,Linux/UNIX,151600.0,0.022,0.721484474886,53.8034844749,30320.0,53.06,5.5375890411,2034.32,172368.0,2093.66107352,328336.355556,0,18,3155.55555556
45,ap-southeast-2b,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.117,24624.0,Linux/UNIX,303200.0,0.044,2.88593789954,109.0499379,60640.0,106.12,10.3636076712,3771.94,320112.0,3891.35354557,632048.711111,0,18,6311.11111111
46,ap-southeast-2b,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.117,24624.0,Linux/UNIX,758000.0,0.11,18.0371118721,283.447111872,151600.0,265.3,26.2447167123,9281.42,787968.0,9591.11182858,1562958.57778,0,18,15777.7777778
47,ap-southeast-2b,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.117,24624.0,Linux/UNIX,1516000.0,0.22,72.1484474886,602.968447489,303200.0,530.6,54.2273819178,18266.18,1551312.0,18923.3758294,3101293.15556,0,18,31555.5555556
48,eu-central-1a,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.064,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,101.376,24624.0,103.391240722,33877.7777778,0,18,157.777777778
49,eu-central-1a,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.064,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,188.064,24624.0,192.020713052,43131.5555556,0,18,315.555555556
50,eu-central-1a,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.064,24624.0,Linux/UNIX,30320.0,0.0043,0.0283346630137,6.85463466301,6064.0,6.822,1.59442068493,578.37,49248.0,586.819055348,81411.9111111,0,18,631.111111111
51,eu-central-1a,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.064,24624.0,Linux/UNIX,75800.0,0.01075,0.177091643836,17.2428416438,15160.0,17.055,3.16854942466,1156.68,98496.0,1177.09139107,176480.177778,0,18,1577.77777778
52,eu-central-1a,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.064,24624.0,Linux/UNIX,151600.0,0.0215,0.708366575342,34.8398665753,30320.0,34.11,5.49144246575,1982.94,172368.0,2023.27130904,328336.355556,0,18,3155.55555556
53,eu-central-1a,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.064,24624.0,Linux/UNIX,303200.0,0.043,2.83346630137,71.0964663014,60640.0,68.22,10.277244274,3676.68,320112.0,3758.05371058,632048.711111,0,18,6311.11111111
54,eu-central-1a,20,0.0071,c3.8xlarge,8,5000,0.379,0.379,2.064,24624.0,Linux/UNIX,758000.0,0.1075,17.7091643836,188.366664384,151600.0,170.55,26.0260107397,9047.04,787968.0,9261.43267512,1562958.57778,0,18,15777.7777778
55,eu-central-1a,20,0.0071,c3.8xlarge,8,10000,0.379,0.379,2.064,24624.0,Linux/UNIX,1516000.0,0.215,70.8366575342,412.151657534,303200.0,341.1,53.7754870685,17804.91,1551312.0,18270.8371446,3101293.15556,0,18,31555.5555556
56,eu-central-1b,20,0.0071,c3.8xlarge,8,50,0.379,0.379,2.064,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,101.376,24624.0,103.391240722,33877.7777778,0,18,157.777777778
57,eu-central-1b,20,0.0071,c3.8xlarge,8,100,0.379,0.379,2.064,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,188.064,24624.0,192.020713052,43131.5555556,0,18,315.555555556
58,eu-central-1b,20,0.0071,c3.8xlarge,8,200,0.379,0.379,2.064,24624.0,Linux/UNIX,30320.0,0.0043,0.0283346630137,6.85463466301,6064.0,6.822,1.59442068493,578.37,49248.0,586.819055348,81411.9111111,0,18,631.111111111
59,eu-central-1b,20,0.0071,c3.8xlarge,8,500,0.379,0.379,2.064,24624.0,Linux/UNIX,75800.0,0.01075,0.177091643836,17.2428416438,15160.0,17.055,3.16854942466,1156.68,98496.0,1177.09139107,176480.177778,0,18,1577.77777778
60,eu-central-1b,20,0.0071,c3.8xlarge,8,1000,0.379,0.379,2.064,24624.0,Linux/UNIX,151600.0,0.0215,0.708366575342,34.8398665753,30320.0,34.11,5.49144246575,1982.94,172368.0,2023.27130904,328336.355556,0,18,3155.55555556
61,eu-central-1b,20,0.0071,c3.8xlarge,8,2000,0.379,0.379,2.064,24624.0,Linux/UNIX,303200.0,0.043,2.83346630137,71.0964663014,60640.0,68.22,10.277244274,3676.68,320112.0,3758.05371058,632048.711111,0,18,6311.11111111
